Humidity,Temperature,saveDate,Min
75,28.9,12/20/2022 2:30,2040
74,28.9,12/20/2022 2:45,2055
74,28.9,12/20/2022 3:00,2070
74,28.9,12/20/2022 3:15,2085
74,28.9,12/20/2022 3:30,2100
74,28.9,12/20/2022 3:45,2115
75,28.9,12/20/2022 4:00,2130
73,29.3,12/20/2022 4:15,2145
73,28.9,12/20/2022 4:30,2160
73,28.9,12/20/2022 4:45,2175
73,28.9,12/20/2022 5:00,2190
73,28.9,12/20/2022 5:15,2205
73,28.9,12/20/2022 5:30,2220
73,28.9,12/20/2022 5:45,2235
73,28.9,12/20/2022 6:00,2250
73,28.9,12/20/2022 6:15,2265
73,28.9,12/20/2022 6:30,2280
73,28.9,12/20/2022 6:45,2295
73,28.9,12/20/2022 7:00,2310
73,28.9,12/20/2022 7:15,2325
73,28.9,12/20/2022 7:30,2340
73,28.9,12/20/2022 7:45,2355
73,28.9,12/20/2022 8:00,2370
73,28.9,12/20/2022 8:15,2385
73,28.9,12/20/2022 8:30,2400
73,28.9,12/20/2022 8:45,2415
73,28.9,12/20/2022 9:00,2430
72,29.3,12/20/2022 9:30,2460
72,29.3,12/20/2022 9:45,2475
72,29.3,12/20/2022 10:00,2490
72,29.3,12/20/2022 10:15,2505
72,29.3,12/20/2022 10:30,2520
72,29.3,12/20/2022 10:45,2535
72,29.3,12/20/2022 11:00,2550
72,29.3,12/20/2022 11:15,2565
72,29.3,12/20/2022 11:30,2580
78,28.9,12/20/2022 11:45,2595
78,28.9,12/20/2022 12:00,2610
78,28.9,12/20/2022 12:15,2625
77,29.3,12/20/2022 12:30,2640
76,29.8,12/20/2022 12:45,2655
73,30.2,12/20/2022 13:00,2670
72,30.8,12/20/2022 13:15,2685
75,30.2,12/20/2022 13:30,2700
76,29.8,12/20/2022 13:45,2715
78,29.3,12/20/2022 14:00,2730
77,29.8,12/20/2022 14:15,2745
76,29.8,12/20/2022 14:30,2760
76,29.8,12/20/2022 14:45,2775
76,29.8,12/20/2022 15:00,2790
77,29.3,12/20/2022 15:15,2805
79,28.9,12/20/2022 15:30,2820
79,28.9,12/20/2022 15:45,2835
80,28.9,12/20/2022 16:00,2850
79,28.9,12/20/2022 16:15,2865
80,28.9,12/20/2022 16:30,2880
80,28.9,12/20/2022 16:45,2895
79,28.9,12/20/2022 17:00,2910
79,28.9,12/20/2022 17:15,2925
80,28.9,12/20/2022 17:30,2940
80,28.9,12/20/2022 17:45,2955
80,28.9,12/20/2022 18:00,2970
80,28.9,12/20/2022 18:15,2985
80,28.9,12/20/2022 18:30,3000
80,29.3,12/20/2022 18:45,3015
79,29.1,12/20/2022 19:00,3030
80,28.9,12/20/2022 19:15,3045
80,29.3,12/20/2022 19:30,3060
80,28.9,12/20/2022 19:45,3075
79,28.5,12/20/2022 20:00,3090
80,28.9,12/20/2022 20:15,3105
80,28.9,12/20/2022 20:30,3120
79,28.9,12/20/2022 20:45,3135
80,28.9,12/20/2022 21:00,3150
80,28.9,12/20/2022 21:15,3165
80,28.5,12/20/2022 21:30,3180
80,28.9,12/20/2022 21:45,3195
80,28.5,12/20/2022 22:00,3210
80,28.5,12/20/2022 22:15,3225
80,28.5,12/20/2022 22:30,3240
80,28.5,12/20/2022 22:45,3255
80,28.5,12/20/2022 23:00,3270
80,28.5,12/20/2022 23:15,3285
80,28.5,12/20/2022 23:30,3300
80,28.5,12/20/2022 23:45,3315
79,28.5,12/21/2022 0:00,3330
80,28.2,12/21/2022 0:15,3345
80,28.5,12/21/2022 0:30,3360
80,28.5,12/21/2022 0:45,3375
79,28.5,12/21/2022 1:00,3390
80,28.5,12/21/2022 1:15,3405
80,28.5,12/21/2022 1:30,3420
80,28,12/21/2022 1:45,3435
80,28.3,12/21/2022 2:00,3450
80,28,12/21/2022 2:15,3465
80,28,12/21/2022 2:30,3480
80,28,12/21/2022 2:45,3495
80,28,12/21/2022 3:00,3510
80,28,12/21/2022 3:15,3525
80,28,12/21/2022 3:30,3540
80,28,12/21/2022 3:45,3555
80,28,12/21/2022 4:00,3570
80,28,12/21/2022 4:15,3585
80,28,12/21/2022 4:30,3600
81,27.6,12/21/2022 4:45,3615
81,27.6,12/21/2022 5:00,3630
81,27.6,12/21/2022 5:15,3645
80,28,12/21/2022 5:30,3660
80,28,12/21/2022 5:45,3675
80,28,12/21/2022 6:00,3690
80,28,12/21/2022 6:15,3705
80,28,12/21/2022 6:30,3720
80,28,12/21/2022 6:45,3735
80,28,12/21/2022 7:00,3750
80,28,12/21/2022 7:15,3765
81,27.8,12/21/2022 7:30,3780
80,28,12/21/2022 7:45,3795
80,28,12/21/2022 8:00,3810
80,28,12/21/2022 8:15,3825
81,28.5,12/21/2022 8:30,3840
80,28.5,12/21/2022 8:45,3855
80,28.5,12/21/2022 9:00,3870
80,28.5,12/21/2022 9:15,3885
81,28.9,12/21/2022 9:30,3900
81,28.9,12/21/2022 9:45,3915
82,29.3,12/21/2022 10:00,3930
83,29.3,12/21/2022 10:15,3945
82,29.3,12/21/2022 10:30,3960
80,29.3,12/21/2022 10:45,3975
80,29,12/21/2022 11:00,3990
80,29.3,12/21/2022 11:15,4005
81,29.7,12/21/2022 11:30,4020
80,29.8,12/21/2022 11:45,4035
80,29.8,12/21/2022 12:00,4050
80,29.3,12/21/2022 12:15,4065
80,29.3,12/21/2022 12:30,4080
80,29.3,12/21/2022 12:45,4095
80,29.3,12/21/2022 13:00,4110
80,29.3,12/21/2022 13:15,4125
80,29.3,12/21/2022 13:30,4140
80,29.3,12/21/2022 13:45,4155
79,29.3,12/21/2022 14:00,4170
79,29.3,12/21/2022 14:15,4185
78,29.8,12/21/2022 14:30,4200
76,30.2,12/21/2022 14:45,4215
75,30.2,12/21/2022 15:00,4230
75,30.2,12/21/2022 15:15,4245
75,30.2,12/21/2022 15:30,4260
75,30.2,12/21/2022 15:45,4275
75,29.8,12/21/2022 16:00,4290
75,30.2,12/21/2022 16:15,4305
75,30.2,12/21/2022 16:30,4320
75,30.2,12/21/2022 16:45,4335
75,30.2,12/21/2022 17:00,4350
75,30.2,12/21/2022 17:15,4365
76,30.2,12/21/2022 17:30,4380
77,29.4,12/21/2022 17:45,4395
77,29.3,12/21/2022 18:00,4410
78,29.3,12/21/2022 18:15,4425
78,29.8,12/21/2022 18:30,4440
79,29.8,12/21/2022 18:45,4455
79,29.8,12/21/2022 19:00,4470
79,29.8,12/21/2022 19:15,4485
78,29.8,12/21/2022 19:30,4500
79,29.8,12/21/2022 19:45,4515
79,29.3,12/21/2022 20:00,4530
79,28.9,12/21/2022 20:15,4545
79,28.9,12/21/2022 20:30,4560
80,28.9,12/21/2022 20:45,4575
80,28.9,12/21/2022 21:00,4590
80,28.5,12/21/2022 21:15,4605
81,28.5,12/21/2022 21:30,4620
80,28.5,12/21/2022 21:45,4635
80,28.5,12/21/2022 22:00,4650
80,28.5,12/21/2022 22:15,4665
80,28.5,12/21/2022 22:30,4680
80,28.5,12/21/2022 22:45,4695
80,28.5,12/21/2022 23:00,4710
80,28.5,12/21/2022 23:15,4725
80,28.5,12/21/2022 23:30,4740
79,28.5,12/21/2022 23:45,4755
79,28.5,12/22/2022 0:00,4770
79,28.5,12/22/2022 0:15,4785
79,28.5,12/22/2022 0:30,4800
79,28.5,12/22/2022 0:45,4815
78,28.4,12/22/2022 1:00,4830
78,28,12/22/2022 1:15,4845
78,28,12/22/2022 1:30,4860
78,28,12/22/2022 1:45,4875
77,28,12/22/2022 2:00,4890
77,28,12/22/2022 2:15,4905
77,28,12/22/2022 2:30,4920
76,28,12/22/2022 2:45,4935
76,28,12/22/2022 3:00,4950
76,28,12/22/2022 3:15,4965
76,28,12/22/2022 3:30,4980
77,27.6,12/22/2022 3:45,4995
77,27.6,12/22/2022 4:00,5010
77,27.6,12/22/2022 4:15,5025
76,28,12/22/2022 4:30,5040
77,27.8,12/22/2022 4:45,5055
77,27.6,12/22/2022 5:00,5070
77,27.6,12/22/2022 5:15,5085
77,27.6,12/22/2022 5:30,5100
77,27.6,12/22/2022 5:45,5115
77,27.6,12/22/2022 6:00,5130
76,27.6,12/22/2022 6:15,5145
76,28,12/22/2022 6:30,5160
76,28,12/22/2022 6:45,5175
76,28,12/22/2022 7:00,5190
76,28,12/22/2022 7:15,5205
76,28,12/22/2022 7:30,5220
74,28,12/22/2022 7:45,5235
75,28,12/22/2022 8:00,5250
75,28,12/22/2022 8:15,5265
75,28,12/22/2022 8:30,5280
74,28,12/22/2022 8:45,5295
74,28,12/22/2022 9:00,5310
76,28.5,12/22/2022 9:15,5325
79,28.9,12/22/2022 9:30,5340
72,28.5,12/22/2022 9:45,5355
72,28.5,12/22/2022 10:00,5370
72,28.5,12/22/2022 10:15,5385
74,28.9,12/22/2022 10:30,5400
72,28.9,12/22/2022 10:45,5415
73,28.9,12/22/2022 11:00,5430
71,28.9,12/22/2022 11:15,5445
73,28.9,12/22/2022 11:30,5460
76,29.3,12/22/2022 11:45,5475
77,29.3,12/22/2022 12:00,5490
77,29.3,12/22/2022 12:15,5505
76,29.3,12/22/2022 12:30,5520
76,29.3,12/22/2022 12:45,5535
74,29.3,12/22/2022 13:00,5550
72,29.3,12/22/2022 13:15,5565
72,29.3,12/22/2022 13:30,5580
73,29.3,12/22/2022 13:45,5595
74,29.8,12/22/2022 14:00,5610
71,30.2,12/22/2022 14:15,5625
71,30.8,12/22/2022 14:30,5640
71,30.8,12/22/2022 14:45,5655
71,30.8,12/22/2022 15:00,5670
71,30.2,12/22/2022 15:15,5685
71,30.2,12/22/2022 15:30,5700
71,30.2,12/22/2022 15:45,5715
70,30.2,12/22/2022 16:00,5730
71,29.8,12/22/2022 16:15,5745
72,29.8,12/22/2022 16:30,5760
72,29.8,12/22/2022 16:45,5775
72,29.3,12/22/2022 17:00,5790
72,29.3,12/22/2022 17:15,5805
72,29.3,12/22/2022 17:30,5820
72,29.3,12/22/2022 17:45,5835
72,29.3,12/22/2022 18:00,5850
72,29.3,12/22/2022 18:15,5865
72,29.8,12/22/2022 18:30,5880
72,29.8,12/22/2022 18:30,5880
72,29.8,12/22/2022 18:45,5895
71,30.2,12/22/2022 19:00,5910
70,30.2,12/22/2022 19:15,5925
69,30.1,12/22/2022 19:30,5940
70,29.8,12/22/2022 19:45,5955
70,29.8,12/22/2022 20:00,5970
70,29.8,12/22/2022 20:15,5985
70,29.8,12/22/2022 20:30,6000
70,29.8,12/22/2022 20:45,6015
70,29.3,12/22/2022 21:00,6030
71,28.9,12/22/2022 21:15,6045
71,28.9,12/22/2022 21:30,6060
72,28.9,12/22/2022 21:45,6075
72,29.3,12/22/2022 22:00,6090
72,29.3,12/22/2022 22:15,6105
71,29.3,12/22/2022 22:30,6120
71,29.3,12/22/2022 22:45,6135
70,28.9,12/22/2022 23:00,6150
70,29.3,12/22/2022 23:15,6165
70,29.8,12/22/2022 23:30,6180
71,29.3,12/22/2022 23:45,6195
70,29.3,12/23/2022 0:00,6210
71,28.9,12/23/2022 0:15,6225
71,28.9,12/23/2022 0:30,6240
72,28.9,12/23/2022 0:45,6255
72,28.7,12/23/2022 1:00,6270
72,28.5,12/23/2022 1:15,6285
72,28.5,12/23/2022 1:30,6300
72,28.5,12/23/2022 1:45,6315
72,28.5,12/23/2022 2:00,6330
72,28.5,12/23/2022 2:15,6345
71,28.5,12/23/2022 2:30,6360
71,28.5,12/23/2022 2:45,6375
71,28.1,12/23/2022 3:00,6390
71,28.5,12/23/2022 3:15,6405
71,28.2,12/23/2022 3:30,6420
72,28,12/23/2022 3:45,6435
72,28.5,12/23/2022 4:00,6450
72,28.5,12/23/2022 4:15,6465
72,28.2,12/23/2022 4:30,6480
72,28,12/23/2022 4:45,6495
72,28,12/23/2022 5:00,6510
72,28,12/23/2022 5:15,6525
72,28,12/23/2022 5:30,6540
72,28,12/23/2022 5:45,6555
73,28,12/23/2022 6:00,6570
73,28,12/23/2022 6:15,6585
74,28,12/23/2022 6:30,6600
74,28,12/23/2022 6:45,6615
74,28,12/23/2022 7:00,6630
73,28,12/23/2022 7:15,6645
72,28,12/23/2022 7:30,6660
72,28,12/23/2022 7:45,6675
72,28,12/23/2022 8:00,6690
71,28,12/23/2022 8:15,6705
71,28,12/23/2022 8:30,6720
71,28,12/23/2022 8:45,6735
70,28,12/23/2022 9:00,6750
70,28.5,12/23/2022 9:15,6765
71,28.5,12/23/2022 9:30,6780
71,28.5,12/23/2022 9:45,6795
70,28.5,12/23/2022 10:00,6810
71,28.9,12/23/2022 10:15,6825
69,28.9,12/23/2022 10:30,6840
70,28.9,12/23/2022 10:45,6855
69,28.9,12/23/2022 11:00,6870
68,29.3,12/23/2022 11:15,6885
68,29.3,12/23/2022 11:30,6900
67,29.3,12/23/2022 11:45,6915
65,29.3,12/23/2022 12:00,6930
66,29.3,12/23/2022 12:15,6945
68,29.3,12/23/2022 12:30,6960
66,29.3,12/23/2022 12:45,6975
67,29.3,12/23/2022 13:00,6990
68,29.3,12/23/2022 13:15,7005
68,29.3,12/23/2022 13:30,7020
68,29.3,12/23/2022 13:45,7035
67,29.3,12/23/2022 14:00,7050
66,29.3,12/23/2022 14:15,7065
68,29.3,12/23/2022 14:30,7080
68,29.3,12/23/2022 14:45,7095
68,29.3,12/23/2022 15:00,7110
68,29.8,12/23/2022 15:15,7125
68,29.3,12/23/2022 15:30,7140
67,29.3,12/23/2022 15:45,7155
68,29.3,12/23/2022 16:00,7170
67,29.3,12/23/2022 16:15,7185
68,28.9,12/23/2022 16:30,7200
68,28.9,12/23/2022 16:45,7215
69,28.9,12/23/2022 17:00,7230
68,28.9,12/23/2022 17:15,7245
68,28.9,12/23/2022 17:30,7260
64,28.9,12/23/2022 17:45,7275
65,28.9,12/23/2022 18:00,7290
67,28.9,12/23/2022 18:15,7305
68,28.5,12/23/2022 18:30,7320
68,28.5,12/23/2022 18:45,7335
68,28.9,12/23/2022 19:00,7350
66,29.3,12/23/2022 19:15,7365
64,29.3,12/23/2022 19:30,7380
65,29.3,12/23/2022 19:45,7395
63,28.5,12/23/2022 20:00,7410
66,28.9,12/23/2022 20:15,7425
66,28.9,12/23/2022 20:30,7440
